,1,2,7,8,9,10,13,15,20,23,24,25,27,38,103,116,119,135
620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
730,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
905,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
915,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0
1300,0,0,0,47,70,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1440,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
1515,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
1520,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
1530,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,27
1545,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,14,0,0
1600,0,0,0,56,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1610,0,0,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1615,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
1630,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
1700,0,0,72,0,15,0,0,0,0,0,0,0,17,0,0,0,0,0
1710,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1730,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
1830,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
2100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
2300,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0

